,ID,Age,Gender,Income,Education,Region
762,763,47,Male,74746,High School,East
743,744,33,Female,143031,Bachelors,East
309,310,57,Other,123293,High School,East
308,309,53,Female,31063,Bachelors,East
134,135,52,Male,36243,Bachelors,East
302,303,69,Male,40477,Masters,East
196,197,48,Male,112332,Masters,East
638,639,48,Male,74334,Bachelors,East
271,272,21,Other,106891,Masters,East
2,3,71,Male,138887,Bachelors,East
848,849,60,Other,42596,Bachelors,East
799,800,46,Female,118844,PhD,East
466,467,22,Male,70779,Bachelors,East
922,923,25,Female,36878,Masters,East
275,276,60,Female,43805,PhD,East
977,978,42,Other,91058,High School,East
555,556,69,Male,37310,Bachelors,East
491,492,63,Other,113359,Masters,East
648,649,56,Female,23704,Masters,East
30,31,27,Female,58115,High School,East
446,447,40,Female,149870,Bachelors,East
507,508,27,Other,133992,High School,East
276,277,30,Other,88328,Masters,East
321,322,27,Other,85983,Masters,East
345,346,79,Male,146426,Bachelors,East
147,148,68,Other,21339,Masters,North
372,373,23,Female,27299,Bachelors,North
752,753,59,Other,84451,High School,North
540,541,54,Male,144885,Masters,North
924,925,67,Female,49968,Bachelors,North
912,913,66,Female,126482,Masters,North
344,345,26,Other,105940,PhD,North
265,266,49,Other,141877,Masters,North
755,756,46,Female,23621,PhD,North
603,604,51,Male,124538,Bachelors,North
847,848,77,Other,142532,High School,North
453,454,76,Male,95523,High School,North
918,919,63,Other,32747,Bachelors,North
181,182,18,Female,100683,Bachelors,North
637,638,79,Female,58210,Masters,North
343,344,34,Female,34609,Bachelors,North
929,930,38,Male,46179,PhD,North
7,8,57,Female,140974,High School,North
563,564,67,Female,101212,Masters,North
619,620,21,Male,104935,High School,North
733,734,18,Male,68933,Masters,North
456,457,26,Other,96076,PhD,North
40,41,53,Female,147482,Bachelors,North
988,989,72,Male,105049,PhD,North
926,927,47,Male,56357,High School,North
709,710,48,Female,84473,Masters,South
536,537,63,Female,76292,PhD,South
58,59,53,Female,34920,Bachelors,South
499,500,77,Male,48719,High School,South
414,415,54,Female,143896,PhD,South
868,869,58,Male,104503,Masters,South
119,120,71,Other,68447,PhD,South
153,154,75,Other,139417,Bachelors,South
624,625,51,Female,120670,Masters,South
425,426,64,Male,55738,PhD,South
388,389,24,Other,139138,High School,South
801,802,24,Male,148869,High School,South
398,399,39,Other,58212,High School,South
558,559,69,Other,110427,PhD,South
405,406,46,Female,51960,PhD,South
828,829,34,Female,43040,PhD,South
171,172,28,Male,42613,High School,South
66,67,54,Male,59332,Bachelors,South
768,769,51,Female,62641,High School,South
20,21,56,Other,121272,PhD,South
512,513,56,Female,148002,Masters,South
64,65,18,Other,121515,Masters,South
891,892,72,Other,43050,PhD,South
635,636,51,Male,117914,High School,South
720,721,30,Female,37756,High School,South
233,234,78,Female,106834,Bachelors,West
964,965,51,Female,52848,Bachelors,West
842,843,26,Other,39656,Bachelors,West
188,189,78,Male,133698,High School,West
5,6,77,Male,142869,High School,West
36,37,33,Female,70357,Bachelors,West
533,534,34,Male,48601,PhD,West
739,740,24,Other,92120,PhD,West
75,76,59,Female,113323,PhD,West
87,88,73,Male,52843,Bachelors,West
74,75,22,Male,106602,Masters,West
876,877,51,Female,42918,PhD,West
631,632,69,Female,115662,High School,West
15,16,42,Other,22073,Masters,West
843,844,25,Female,51343,Bachelors,West
647,648,21,Female,58670,Masters,West
44,45,47,Female,85374,PhD,West
961,962,57,Female,91870,PhD,West
41,42,42,Male,107471,High School,West
111,112,32,Other,139426,Bachelors,West
485,486,76,Male,44081,Masters,West
164,165,68,Other,137101,Bachelors,West
693,694,47,Female,38281,High School,West
325,326,25,Female,84667,Masters,West
47,48,32,Male,54669,PhD,West
