,Color,satisfaction_levels,items,cost
0,black,medium,1000,93896.76
1,red,low,1001,59729.48
2,yellow,medium,1002,65861.67
3,yellow,low,1003,45799.62
4,yellow,medium,1004,183445.92
5,blue,low,1005,133466.95
6,yellow,high,1006,175948.16
7,green,high,1007,180034.31
8,black,medium,1008,137504.57
9,red,low,1009,168084.63
10,red,low,1010,39145.14
11,black,medium,1011,111199.87
12,green,low,1012,117689.19
13,blue,medium,1013,23518.85
14,red,medium,1014,74346.49
15,blue,medium,1015,189936.02
16,blue,high,1016,87125.08
17,red,high,1017,41859.0
18,blue,high,1018,33639.39
19,black,medium,1019,35987.11
20,yellow,high,1020,143915.71
21,red,high,1021,38309.48
22,yellow,medium,1022,174551.13
23,red,medium,1023,110964.29
24,green,low,1024,112046.61
25,yellow,high,1025,67370.22
26,red,low,1026,165500.41
27,blue,low,1027,40614.22
28,yellow,low,1028,160644.45
29,yellow,medium,1029,197493.11
30,yellow,high,1030,101461.41
31,red,medium,1031,99762.89
32,blue,medium,1032,196142.3
33,blue,low,1033,43129.98
34,blue,medium,1034,120228.64
35,red,low,1035,112913.42
36,green,low,1036,89106.62
37,black,high,1037,52751.46
38,yellow,low,1038,52307.25
39,yellow,high,1039,136929.09
40,green,high,1040,101374.32
41,black,low,1041,18106.34
42,green,medium,1042,87277.51
43,red,low,1043,132610.83
44,red,high,1044,146812.56
45,black,medium,1045,87054.46
46,red,high,1046,113317.81
47,black,medium,1047,93687.14
48,blue,high,1048,15967.76
49,black,low,1049,107705.25
50,blue,low,1050,115243.03
51,green,high,1051,109510.52
52,green,medium,1052,174830.91
53,red,low,1053,157854.74
54,blue,low,1054,84595.67
55,blue,high,1055,93576.13
56,blue,medium,1056,89277.06
57,blue,high,1057,82732.1
58,yellow,high,1058,157725.17
59,yellow,medium,1059,179572.49
60,green,medium,1060,188107.55
61,yellow,medium,1061,101148.77
62,red,high,1062,73543.59
63,yellow,high,1063,179258.63
64,black,low,1064,167394.5
65,blue,medium,1065,89791.85
66,green,high,1066,50853.6
67,black,high,1067,94571.03
68,yellow,low,1068,172987.21
69,black,medium,1069,187622.45
70,black,low,1070,127644.84
71,black,medium,1071,188795.58
72,yellow,high,1072,108888.63
73,black,high,1073,190654.76
74,black,low,1074,151860.74
75,black,medium,1075,138475.63
76,red,medium,1076,101921.75
77,black,high,1077,107100.73
78,yellow,low,1078,27577.36
79,green,low,1079,105326.52
80,red,high,1080,20068.24
81,blue,medium,1081,83429.7
82,blue,high,1082,193439.53
83,yellow,low,1083,189809.03
84,red,medium,1084,185648.43
85,red,medium,1085,39366.31
86,blue,medium,1086,107769.1
87,green,medium,1087,58967.96
88,black,medium,1088,114831.83
89,green,medium,1089,34181.66
90,red,high,1090,123111.21
91,yellow,high,1091,84828.63
92,green,high,1092,96762.65
93,green,low,1093,148325.0
94,red,medium,1094,165928.19
95,blue,high,1095,114522.61
96,red,high,1096,188350.87
97,green,medium,1097,58223.05
98,green,high,1098,199548.67
99,yellow,high,1099,141654.41
100,green,low,1100,27692.02
101,yellow,high,1101,31059.15
102,green,medium,1102,42519.74
103,blue,medium,1103,172933.76
104,green,medium,1104,159774.56
105,yellow,medium,1105,119146.98
106,yellow,medium,1106,46764.79
107,yellow,medium,1107,141882.65
108,green,high,1108,170049.12
109,yellow,medium,1109,106455.03
110,black,medium,1110,142067.89
111,blue,medium,1111,31457.17
112,green,high,1112,149751.95
113,yellow,medium,1113,197408.22
114,blue,low,1114,57473.61
115,green,low,1115,149720.53
116,blue,high,1116,187793.15
117,black,high,1117,57280.87
118,green,low,1118,120929.51
119,yellow,medium,1119,161319.2
120,red,low,1120,36287.06
121,yellow,low,1121,38774.49
122,green,high,1122,68307.1
123,yellow,low,1123,125521.49
124,red,high,1124,124233.04
125,red,low,1125,68935.26
126,red,high,1126,162949.57
127,yellow,medium,1127,58292.06
128,green,medium,1128,35379.25
129,yellow,medium,1129,85220.43
130,red,high,1130,160855.78
131,black,medium,1131,121512.6
132,red,medium,1132,103785.92
133,red,medium,1133,126338.37
134,green,medium,1134,177974.59
135,yellow,high,1135,103234.63
136,green,medium,1136,35278.15
137,yellow,high,1137,120902.62
138,red,high,1138,123613.49
139,red,low,1139,64255.67
140,red,high,1140,46910.5
141,yellow,low,1141,83958.99
142,red,high,1142,110013.07
143,green,low,1143,123027.33
144,green,medium,1144,82988.46
145,red,low,1145,48471.75
146,black,medium,1146,175084.86
