Country,Age,Salary,Purchased
Spain,29.0,55459.0,No
Germany,,81897.0,No
Germany,36.0,35081.0,No
Spain,42.0,62119.0,Yes
France,47.0,75109.0,No
France,30.0,53448.0,No
France,53.0,,No
Germany,35.0,41169.0,No
Spain,38.0,61801.0,No
Germany,31.0,43394.0,No
France,18.0,20000.0,No
Germany,47.0,81492.0,Yes
Germany,45.0,77332.0,No
France,35.0,57288.0,No
France,39.0,62552.0,No
France,43.0,76735.0,No
France,22.0,47829.0,No
Spain,33.0,65287.0,No
Spain,46.0,62779.0,No
France,25.0,63655.0,No
Spain,41.0,,No
France,24.0,49319.0,No
France,43.0,48157.0,No
Spain,38.0,62323.0,No
Spain,,34680.0,No
Germany,50.0,62023.0,No
France,31.0,42804.0,No
Spain,30.0,39113.0,No
Spain,40.0,86502.0,No
France,49.0,85514.0,Yes
Spain,28.0,73102.0,No
France,39.0,45080.0,No
France,42.0,63914.0,No
Germany,45.0,49916.0,No
Germany,40.0,52440.0,No
Germany,34.0,44879.0,No
France,30.0,66627.0,No
France,39.0,55221.0,No
Germany,27.0,62371.0,No
Spain,18.0,48449.0,No
France,42.0,90773.0,No
Spain,47.0,49582.0,Yes
France,18.0,56311.0,No
Germany,28.0,63870.0,No
France,44.0,53092.0,No
Spain,59.0,89803.0,Yes
France,38.0,63421.0,No
Spain,31.0,49918.0,No
Spain,36.0,47667.0,No
France,52.0,62945.0,No
Germany,32.0,77984.0,No
Germany,30.0,52015.0,No
Germany,33.0,64241.0,No
Germany,28.0,41129.0,No
Spain,39.0,50946.0,No
Germany,54.0,86806.0,No
France,41.0,45913.0,Yes
France,35.0,51946.0,No
France,35.0,56982.0,No
France,22.0,46468.0,No
Spain,47.0,64999.0,No
France,37.0,63249.0,No
Germany,36.0,65890.0,Yes
Spain,65.0,92316.0,Yes
France,41.0,50059.0,No
Spain,30.0,49024.0,No
France,34.0,69700.0,No
Germany,49.0,80272.0,No
France,39.0,,No
Germany,24.0,50473.0,No
Germany,47.0,43734.0,No
France,31.0,53750.0,No
France,57.0,98833.0,No
Germany,49.0,57546.0,Yes
Germany,34.0,45162.0,No
Germany,51.0,79898.0,No
Germany,39.0,41297.0,No
France,47.0,59282.0,No
Spain,43.0,70720.0,No
France,30.0,43971.0,No
Germany,32.0,,No
Spain,48.0,77400.0,No
France,35.0,61246.0,No
France,34.0,58769.0,No
France,28.0,46534.0,No
France,42.0,67453.0,No
Germany,59.0,76278.0,No
Spain,27.0,55086.0,No
Germany,38.0,53455.0,No
Spain,52.0,69719.0,No
France,37.0,46604.0,No
Germany,43.0,62851.0,No
Germany,27.0,39906.0,No
Spain,42.0,49686.0,No
Germany,36.0,60620.0,No
Spain,48.0,70624.0,No
Spain,50.0,79281.0,No
Spain,64.0,77333.0,Yes
France,44.0,69313.0,No
France,41.0,68742.0,No
France,40.0,,No
Spain,34.0,46114.0,No
France,41.0,64039.0,No
Spain,35.0,60911.0,No
Germany,40.0,60802.0,No
France,51.0,46021.0,No
Spain,28.0,,No
Germany,49.0,96009.0,Yes
France,51.0,66734.0,No
France,37.0,49400.0,No
France,18.0,45680.0,No
France,32.0,57478.0,No
Germany,51.0,85186.0,No
Germany,38.0,43900.0,No
Spain,28.0,58983.0,No
Germany,33.0,61742.0,No
Germany,46.0,65060.0,No
France,43.0,68185.0,No
Germany,36.0,69403.0,No
Spain,34.0,66366.0,No
Germany,34.0,41958.0,No
Germany,29.0,60740.0,No
France,54.0,72962.0,No
France,35.0,57174.0,No
France,50.0,71033.0,No
Spain,53.0,71089.0,No
Germany,48.0,82485.0,No
Germany,34.0,54311.0,No
France,,49399.0,No
Spain,38.0,54260.0,No
Spain,29.0,53211.0,No
France,41.0,76870.0,No
France,26.0,55826.0,No
France,50.0,59683.0,No
Germany,33.0,84841.0,No
France,,,No
Spain,41.0,77054.0,No
Germany,35.0,55049.0,No
Spain,44.0,70881.0,No
Germany,33.0,64999.0,No
