Date,Humidity,Pressure,WindSpeed,PreviousTemp,Temperature
2020-01-01,67.88,1016.47,8.55,12.77,11.14
2020-01-02,63.41,1019.09,11.88,13.87,11.49
2020-01-03,68.9,1015.83,12.07,13.23,10.91
2020-01-04,75.01,1018.22,13.89,14.14,12.15
2020-01-05,62.68,1010.26,6.53,14.92,14.78
2020-01-06,62.66,1020.76,14.37,17.28,15.25
2020-01-07,75.33,1019.66,1.18,14.79,12.86
2020-01-08,69.63,1015.53,9.48,12.06,12.38
2020-01-09,60.94,1022.87,10.05,18.11,15.25
2020-01-10,68.0,1024.22,14.53,13.82,13.03
2020-01-11,60.93,1011.45,12.09,15.6,12.97
2020-01-12,60.88,1015.63,6.38,16.78,15.34
2020-01-13,65.81,1015.55,8.06,16.3,13.76
2020-01-14,50.69,1014.65,12.79,18.34,16.1
2020-01-15,51.97,1023.44,11.68,17.06,15.01
2020-01-16,60.08,1018.27,9.68,14.19,14.54
2020-01-17,56.89,1017.86,10.08,20.96,16.92
2020-01-18,66.14,1009.11,14.78,16.67,12.45
2020-01-19,57.55,1022.25,9.93,16.0,17.16
2020-01-20,53.98,1012.81,11.65,18.54,17.36
2020-01-21,74.08,1019.25,20.68,17.05,9.78
2020-01-22,62.2,1020.27,6.31,17.48,14.59
2020-01-23,64.21,1025.62,4.59,22.17,16.48
2020-01-24,53.72,1012.2,15.13,16.18,12.88
2020-01-25,59.84,1003.58,9.29,16.19,9.76
2020-01-26,64.38,1019.53,10.73,17.25,14.43
2020-01-27,55.5,1027.54,8.88,19.45,15.81
2020-01-28,66.14,1024.65,10.96,13.89,12.26
2020-01-29,59.26,1019.43,18.39,12.99,9.22
2020-01-30,61.37,1015.85,15.21,16.13,13.68
2020-01-31,59.15,1022.26,15.45,13.94,11.81
2020-02-01,76.27,1013.28,6.34,16.72,15.39
2020-02-02,63.16,1020.44,7.4,18.87,18.0
2020-02-03,55.8,1020.51,1.0,15.93,16.17
2020-02-04,68.9,1023.19,8.76,14.87,12.37
2020-02-05,54.54,1030.0,15.83,18.29,18.63
2020-02-06,64.5,1019.68,14.07,20.16,14.41
2020-02-07,49.26,1015.08,11.11,14.66,11.96
2020-02-08,53.62,1017.41,11.91,20.32,17.41
2020-02-09,64.24,1008.6,9.24,20.45,19.64
2020-02-10,67.97,1013.88,12.82,20.88,16.34
2020-02-11,63.94,1015.21,15.06,21.6,17.06
2020-02-12,61.87,1014.54,5.54,23.9,17.99
2020-02-13,60.5,1017.82,13.2,18.41,16.73
2020-02-14,52.2,1012.85,15.73,19.58,17.9
2020-02-15,57.45,1022.47,10.34,18.56,17.25
