CustomerID,Age,Gender,MaritalStatus,Education,Occupation,AnnualIncome,CityTier,FamilySize,CreditScore,PurchaseHistory,AvgPurchaseValue,DaysSinceLastPurchase,WebsiteVisits,AppUsageHours,EmailClicks,AdsClicked,DiscountUsed,LoyaltyMember,CartAbandonRate,ProductRating,CustomerSatisfaction,PaymentMethod,Device,Purchased
100001,56,Male,Married,Post Graduate,Employee,52552,2,2,893,6,1197.69,110,18,31.6,7,10,0,1,7.31,3.4,7,UPI,Mobile,1
100002,69,Female,Married,Graduate,Employee,123372,1,4,584,5,1441.37,286,7,28.8,10,0,1,1,83.79,2.8,5,Credit Card,Desktop,1
100003,46,Female,Single,Graduate,Employee,117612,1,3,770,6,1170.27,105,22,12.6,20,6,1,1,62.09,1.8,8,Net Banking,Desktop,0
100004,32,Male,Single,High School,Employee,48069,1,3,738,22,446.58,43,13,6.3,10,2,0,0,47.02,2.0,4,Cash,Mobile,0
100005,60,Female,Single,Graduate,Employee,90713,1,1,355,23,1299.05,231,29,32.1,15,1,0,0,21.91,1.4,2,Net Banking,Mobile,1
100006,25,Female,Single,Graduate,Employee,136753,3,4,850,3,1484.91,86,2,11.8,14,9,1,1,73.67,2.6,5,Debit Card,Mobile,1
100007,38,Male,Divorced,Graduate,Employee,105295,3,3,675,5,539.56,6,24,30.0,12,0,0,0,19.48,4.3,8,UPI,Mobile,1
100008,56,Male,Single,High School,Employee,39775,3,2,593,1,237.05,349,15,18.7,9,0,1,1,78.98,2.3,1,Debit Card,Mobile,1
100009,36,Male,Single,Graduate,Student,135919,3,2,349,7,1053.61,353,26,27.1,11,1,1,1,27.68,2.3,8,Cash,Desktop,1
100010,40,Male,Single,Post Graduate,Retired,132372,1,2,529,3,1443.02,123,17,35.9,5,2,1,1,5.69,1.6,6,Credit Card,Tablet,1
100011,28,Female,Married,High School,Self-Employed,89423,3,6,754,21,829.71,22,12,3.4,18,0,1,1,14.92,4.3,1,UPI,Mobile,1
100012,28,Male,Married,Graduate,Employee,31082,2,4,333,13,1268.2,153,15,22.3,9,1,1,1,59.13,2.0,4,Cash,Mobile,1
100013,41,Female,Single,High School,Retired,123257,2,2,421,8,146.75,205,2,38.0,4,9,0,0,6.43,4.8,2,Debit Card,Desktop,1
100014,70,Female,Divorced,Graduate,Business,55688,1,5,728,30,824.19,24,22,4.4,1,2,1,1,30.57,3.0,7,Credit Card,Desktop,1
100015,53,Male,Married,Graduate,Employee,42080,2,6,733,2,1441.47,10,18,30.1,16,2,1,0,27.53,3.8,9,Debit Card,Mobile,1
100016,57,Male,Single,Graduate,Employee,50943,2,2,419,25,1117.68,360,13,5.8,17,1,1,1,73.54,4.4,8,Cash,Mobile,1
100017,41,Female,Married,Graduate,Employee,119052,1,4,638,2,80.39,111,19,34.9,12,9,1,1,48.59,1.7,10,Net Banking,Tablet,1
