Area,Bedrooms,Bathrooms,Floors,Age,Price
850,1,1,1,25,2100000
900,1,1,1,22,2250000
950,2,1,1,20,2450000
1000,2,1,1,18,2650000
1050,2,2,1,17,2850000
1100,2,2,1,16,3050000
1150,2,2,1,15,3200000
1200,2,2,1,14,3400000
1250,2,2,1,13,3550000
1300,2,2,1,12,3700000
1350,2,2,2,11,3900000
1400,3,2,2,10,4100000
1450,3,2,2,9,4300000
1500,3,2,2,8,4500000
1550,3,2,2,7,4700000
1600,3,2,2,6,4900000
1650,3,3,2,5,5100000
1700,3,3,2,5,5300000
1750,3,3,2,4,5500000
1800,3,3,2,4,5700000
1850,3,3,2,3,5900000
1900,3,3,2,3,6100000
1950,3,3,2,2,6300000
2000,3,3,2,2,6500000
2050,4,3,2,2,6700000
2100,4,3,2,2,6900000
2150,4,3,2,2,7100000
2200,4,3,2,2,7300000
2250,4,3,2,2,7500000
2300,4,3,2,2,7700000
2350,4,3,2,2,7900000
2400,4,4,2,1,8100000
2450,4,4,2,1,8300000
2500,4,4,2,1,8500000
2550,4,4,2,1,8700000
2600,4,4,2,1,8900000
2650,4,4,2,1,9100000
2700,4,4,2,1,9300000
2750,4,4,2,1,9500000
2800,4,4,2,1,9700000
2850,5,4,2,1,9900000
2900,5,4,2,1,10100000
2950,5,4,2,1,10300000
3000,5,4,2,1,10500000
3050,5,4,2,1,10700000
3100,5,4,2,1,10900000
3150,5,4,2,1,11100000
3200,5,4,2,1,11300000
3250,5,4,2,1,11500000
3300,5,4,2,1,11700000
3350,5,4,2,1,11900000
3400,5,5,3,1,12100000
3450,5,5,3,1,12300000
3500,5,5,3,1,12500000
3550,5,5,3,1,12700000
3600,5,5,3,1,12900000
3650,5,5,3,1,13100000
3700,5,5,3,1,13300000
3750,5,5,3,1,13500000
3800,5,5,3,1,13700000
3850,5,5,3,1,13900000
3900,5,5,3,1,14100000
3950,5,5,3,1,14300000
4000,5,5,3,1,14500000
4050,5,5,3,1,14700000
4100,5,5,3,1,14900000
4150,5,5,3,1,15100000
4200,5,5,3,1,15300000
4250,5,5,3,1,15500000
4300,5,5,3,1,15700000
4350,5,5,3,1,15900000
4400,5,5,3,1,16100000
4450,5,5,3,1,16300000
4500,5,5,3,1,16500000
4550,5,5,3,1,16700000
4600,5,5,3,1,16900000
4650,5,5,3,1,17100000
4700,5,5,3,1,17300000
4750,5,5,3,1,17500000
4800,5,5,3,1,17700000
4850,5,5,3,1,17900000
4900,5,5,3,1,18100000
4950,5,5,3,1,18300000
5000,5,5,3,1,18500000
5050,5,5,3,1,18700000
5100,5,5,3,1,18900000
5150,5,5,3,1,19100000
5200,5,5,3,1,19300000
5250,5,5,3,1,19500000
5300,5,5,3,1,19700000
5350,5,5,3,1,19900000
5400,5,5,3,1,20100000
5450,5,5,3,1,20300000
5500,5,5,3,1,20500000
5550,5,5,3,1,20700000
5600,5,5,3,1,20900000
5650,5,5,3,1,21100000
5700,5,5,3,1,21300000
5750,5,5,3,1,21500000
5800,5,5,3,1,21700000
5900,5,5,3,1,21900000
6000,5,5,3,1,22100000
