hours,attendance,assignment,result
2,60,50,0
3,65,60,0
4,70,65,1
5,75,70,1
6,80,75,1
1,50,40,0
2,55,45,0
7,90,85,1
8,95,90,1
4,72,68,1
5,78,74,1
3,68,62,0
4,73,66,1
6,82,78,1
7,88,84,1
2,58,48,0
1,45,35,0
5,76,72,1
8,94,91,1
9,96,95,1
3,64,58,0
4,71,67,1
5,79,76,1
6,85,80,1
2,57,46,0
1,48,38,0
7,89,86,1
8,93,89,1
9,98,96,1
4,74,69,1
5,77,73,1
6,83,79,1
3,66,61,0
2,59,49,0
1,52,41,0
7,91,87,1
8,97,93,1
9,99,98,1
4,70,64,1
5,75,71,1
6,81,77,1
3,63,57,0
2,56,44,0
1,47,36,0
7,92,88,1
8,96,92,1
5,80,75,1
6,84,81,1
4,72,67,1
3,65,59,0
2,54,43,0
